Communes;Références cadastrales;Nbre de Pieds;"Superficie plantée
en m2";superficie plantée (en ha);nbre_de_pied_a_ha
ESPELETTE;AP 27;15000.0;10000.0;1.0;15000.0
LARRESSORE;ZC 24;6160.0;4500.0;0.45;13688.888888888889
USTARITZ;BC 68;4658.0;1740.0;0.174;26770.114942528737
USTARITZ;ZI 93;4500.0;3000.0;0.3;15000.0
USTARITZ;AL 56;1200.0;2000.0;0.2;6000.0
ST PEE/NIVELLE;B 459;5000.0;4000.0;0.4;12500.0
LARRESSORE;AD 113 - 38;14060.0;9000.0;0.9;15622.222222222223
LARRESSORE;AD 114 - 164;12760.0;8000.0;0.8;15950.0
LARRESSORE;AE 11;8370.0;6000.0;0.6;13950.0
USTARITZ;BD 488;3840.0;2200.0;0.22;17454.545454545456
USTARITZ;BC 70 - 71 - 72;4020.0;2500.0;0.25;16080.0
USTARITZ;ZI 91;5380.0;5500.0;0.55;9781.81818181818
ITXASSOU;A2 1070;6000.0;5000.0;0.5;12000.0
USTARITZ;ZI 42;5000.0;3800.0;0.38;13157.894736842105
USTARITZ;BC 22;14000.0;8000.0;0.8;17500.0
LARRESSORE;A3 245 - 246;12000.0;6300.0;0.63;19047.619047619046
LARRESSORE;A3 259;9600.0;6200.0;0.62;15483.870967741936
ESPELETTE;AK 90 - 91;7866.0;3390.0;0.339;23203.539823008847
ITXASSOU;A 649;5000.0;2000.0;0.2;25000.0
ST PEE/NIVELLE;AV 31 (= B 1609);14000.0;6000.0;0.6;23333.333333333336
ESPELETTE;C 1115;8880.0;5000.0;0.5;17760.0
SOURAIDE;ZE 50;13250.0;8000.0;0.8;16562.5
ST PEE/NIVELLE;B 56 (= B 1750 + 1751 + 1753) + B 1609;6000.0;3000.0;0.3;20000.0
ITXASSOU;A  999;17000.0;10000.0;1.0;17000.0
USTARITZ;ZC 152;24320.0;13000.0;1.3;18707.69230769231
HALSOU;AA 37;4920.0;3530.0;0.353;13937.677053824364
JATXOU;AB 193;12200.0;8095.0;0.8095;15071.031500926498
SOURAIDE;ZB 83;7580.0;3729.0;0.3729;20327.16545990882
